city,latitude,longitude,name,zip,state
Atmore,31.02181,-87.49386,Burger King,36502,AL
Greenville,38.87866,-89.39077,Taco Bell,62246,IL
Bronx,40.828053,-73.92529,McDonald's,10451,NY
New York,40.757015,-73.98944,Five Guys,10036,NY
Fairfax,38.858362,-77.376969,Pei Wei,22033,VA
Woodbridge,38.637623,-77.297706,Wendy's,22192,VA
Louisville,38.1575,-85.7112,Arby's,40213,KY
Louisville,38.13627,-85.71168,McDonald's,40219,KY
Louisville,38.156731,-85.712124,Taco Bell,40213,KY
Nixa,37.053586,-93.302767,Arby's,65714,MO
Greenville,34.852468,-82.451033,Taco Bell,29611,SC
Greenville,34.853023,-82.452875,McDonald's,29611,SC
Clarksville,36.5098,-87.2763,SONIC Drive In,37043,TN
Clarksville,36.5401,-87.3663,Taco Bell,37040,TN
Knoxville,35.90428,-84.14246,Wendy's,37934,TN
Corpus Christi,27.856211,-97.629141,Burger King,78410,TX
Dayton,30.046579,-94.886769,Jack in the Box,77535,TX
Springfield,37.15422,-93.29613,Jimmy John's,65807,MO
Nashville,36.1217,-86.7054,McDonald's,37217,TN
Mineral Wells,32.8095,-98.0953,Taco Bell,76067,TX
Victoria,28.8117,-96.9739,Wendy's,77901,TX
Orlando,28.552592,-81.464927,Krystal,32808,FL
Lafayette,37.891487,-122.12335,Baja Fresh,94549,CA
Denham Springs,30.528322,-90.956294,Mcdonald's,70726,LA
Bolivar,37.60553,-93.40686,McDonald's,65613,MO
Bolivar,37.596828,-93.403066,Taco Bell,65613,MO
Jefferson City,38.55503,-92.19907,Taco Bell,65109,MO
Jefferson City,38.581753,-92.219515,Taco Bell,65109,MO
Jefferson City,38.58141,-92.24298,Chick-fil-A,65109,MO
Bolivar,37.596372,-93.402919,Burger King,65613,MO
Southport,33.9516,-78.0426,Bojangles' Famous Chicken 'n Biscuits,28461,NC
Quincy,39.93634,-91.35881,Burger King,62301,IL
Rogers,36.32953,-94.12543,Arby's,72756,AR
Springdale,36.167387,-94.143617,Wendy's,72764,AR
Huntsville,36.08869,-93.74247,SUBWAY,72740,AR
Springdale,36.1825,-94.138655,Hardee's,72764,AR
Springdale,36.16732,-94.11799,McDonald's,72764,AR
Springdale,36.17076,-94.13973,Burger King,72764,AR
Keokuk,40.40352,-91.39082,McDonald's,52632,IA
Fort Madison,40.63043,-91.32385,Taco Bell,52627,IA
Joplin,37.079654,-94.477436,Taco Bell,64801,MO
Miami,25.594612,-80.356141,Pollo Tropical,33157,FL
Saint James,38.003166,-91.61875,Burger King,65559,MO
New Orleans,29.956277,-90.217056,McDonald's,70123,LA
Tupelo,34.252985,-88.716015,Wendy's,38801,MS
Tupelo,34.25764,-88.71664,Burger King,38801,MS
Pontotoc,34.257816,-89.018178,Burger King,38863,MS
Franklin,35.915443,-86.833983,Arby's,37064,TN
Pontotoc,34.25054,-89.01787,Domino's Pizza,38863,MS
Tupelo,34.2297,-88.7196,Domino's Pizza,38801,MS
Lucedale,30.733883,-88.4936,Burger King,39452-6632,AL
Biloxi,30.40158,-88.97576,Burger King,39531,AL
Pearl,32.26905,-90.13568,Waffle House,39208,AL
Jackson,32.300625709,-90.258128236,Popeye's Chicken & Biscuits,39209,AL
Jackson,32.328147485,-90.251587368,Popeye's Chicken & Biscuits,39209,AL
Garner,43.10586,-93.607445,Hardee's,50438,IA
Spencer,43.12581,-95.14723,Burger King,51301,IA
Fairfield,41.00652,-91.98436,McDonald's,52556,IA
Fort Dodge,42.50182,-94.15404,Jimmy Johns,50501,IA
Fort Dodge,42.50071,-94.16583,Wendy's,50501,IA
Fort Dodge,42.5011,-94.16261,McDonald's,50501,IA
Dubuque,42.502143,-90.72184,Arby's,52002,IA
Dubuque,42.5121,-90.6552,Wendy's,52001,IA
Memphis,35.099798,-89.848067,Back Yard Burgers,38119,TN
Spirit Lake,43.42173,-95.12424,Burger King,51360,IA
Tifton,31.458252,-83.526697,Krystal,31794,GA
Tifton,31.4575,-83.52582,Arby's,31794,GA
Tifton,31.451335,-83.524973,Bojangles' Famous Chicken 'n Biscuits,31793,GA
Dubuque,42.512515,-90.666233,Hardee's,52001,IA
Dubuque,42.499766,-90.665046,McDonald's,52001,IA
